Region,Product,Subsidiary,Stores,Sales,Inventory,Returns
Africa,Boot,Addis Ababa,12,"$29,761","$191,821",$769
Africa,Men's Casual,Addis Ababa,4,"$67,242","$118,036","$2,284"
Africa,Men's Dress,Addis Ababa,7,"$76,793","$136,273","$2,433"
Africa,Sandal,Addis Ababa,10,"$62,819","$204,284","$1,861"
Africa,Slipper,Addis Ababa,14,"$68,641","$279,795","$1,771"
Africa,Sport Shoe,Addis Ababa,4,"$1,690","$16,634",$79
Africa,Women's Casual,Addis Ababa,2,"$51,541","$98,641",$940
Africa,Women's Dress,Addis Ababa,12,"$108,942","$311,017","$3,233"
Africa,Boot,Algiers,21,"$21,297","$73,737",$710
Africa,Men's Casual,Algiers,4,"$63,206","$100,982","$2,221"
Africa,Men's Dress,Algiers,13,"$123,743","$428,575","$3,621"
Africa,Sandal,Algiers,25,"$29,198","$84,447","$1,530"
Africa,Slipper,Algiers,17,"$64,891","$248,198","$1,823"
Africa,Sport Shoe,Algiers,9,"$2,617","$9,372",$168
Africa,Women's Dress,Algiers,12,"$90,648","$266,805","$2,690"
Africa,Boot,Cairo,20,"$4,846","$18,965",$229
Africa,Men's Casual,Cairo,25,"$360,209","$1,063,251","$9,424"
Africa,Men's Dress,Cairo,5,"$4,051","$45,962",$97
Africa,Sandal,Cairo,9,"$10,532","$50,430",$598
Africa,Slipper,Cairo,9,"$13,732","$54,117","$1,216"
Africa,Sport Shoe,Cairo,3,"$2,259","$20,815",$44
Africa,Women's Casual,Cairo,14,"$328,474","$940,851","$10,124"
Africa,Women's Dress,Cairo,3,"$14,095","$51,145",$745
Africa,Boot,Johannesburg,14,"$8,365","$33,011",$483
Africa,Sandal,Johannesburg,13,"$17,337","$63,003",$809
Africa,Slipper,Johannesburg,12,"$39,452","$130,025","$1,565"
Africa,Sport Shoe,Johannesburg,8,"$5,172","$29,368",$139
Africa,Women's Dress,Johannesburg,4,"$42,682","$120,127",$966
Africa,Boot,Khartoum,24,"$19,282","$105,370",$700
Africa,Men's Casual,Khartoum,1,"$9,244","$16,230",$478
Africa,Men's Dress,Khartoum,3,"$18,053","$51,132","$1,177"
Africa,Sandal,Khartoum,18,"$26,427","$81,825","$1,281"
Africa,Slipper,Khartoum,11,"$43,452","$143,015","$1,573"
Africa,Sport Shoe,Khartoum,7,"$2,521","$27,041",$84
Africa,Women's Casual,Khartoum,1,"$19,582","$30,727",$384
Africa,Women's Dress,Khartoum,6,"$48,031","$132,679","$1,374"
Africa,Boot,Kinshasa,16,"$13,921","$70,736",$553
Africa,Men's Dress,Kinshasa,5,"$57,691","$95,663","$1,699"
Africa,Sandal,Kinshasa,10,"$16,662","$104,438",$611
Africa,Slipper,Kinshasa,11,"$52,807","$183,937","$1,440"
Africa,Sport Shoe,Kinshasa,10,"$4,888","$27,998",$162
Africa,Women's Casual,Kinshasa,1,"$17,919","$21,363",$400
Africa,Women's Dress,Kinshasa,3,"$32,928","$87,149",$717
Africa,Boot,Luanda,8,"$6,081","$51,572",$325
Africa,Men's Casual,Luanda,3,"$62,893","$149,864","$1,701"
Africa,Men's Dress,Luanda,2w,"$29,582","$67,247",$705
Africa,Sandal,Luanda,9,"$11,145","$19,900",$657
Africa,Slipper,Luanda,5,"$19,146","$97,060",$701
Africa,Sport Shoe,Luanda,2,$801,"$3,247",$29
Africa,Women's Dress,Luanda,1,"$8,467","$47,387",$210
Africa,Boot,Nairobi,25,"$16,282","$66,017",$844
Africa,Men's Dress,Nairobi,1,"$8,587","$20,877",$363
Africa,Sandal,Nairobi,19,"$16,289","$47,406","$1,175"
Africa,Slipper,Nairobi,12,"$34,955","$87,438","$1,320"
Africa,Sport Shoe,Nairobi,10,"$2,202","$11,328",$174
Africa,Women's Dress,Nairobi,3,"$28,515","$62,740",$678
Asia,Boot,Bangkok,1,"$1,996","$9,576",$80
Asia,Men's Dress,Bangkok,1,"$3,033","$20,831",$52
Asia,Sandal,Bangkok,1,"$3,230","$15,087",$120
Asia,Slipper,Bangkok,1,"$3,019","$16,075",$127
Asia,Women's Casual,Bangkok,1,"$5,389","$16,251",$185
Asia,Boot,Seoul,17,"$60,712","$160,589","$1,296"
Asia,Men's Casual,Seoul,1,"$11,754","$2,176",$833
Asia,Men's Dress,Seoul,7,"$116,333","$251,803","$2,443"
Asia,Sandal,Seoul,3,"$4,978","$21,483",$105
Asia,Slipper,Seoul,21,"$149,013","$469,007","$2,941"
Asia,Sport Shoe,Seoul,1,$937,$455,$10
Asia,Women's Casual,Seoul,2,"$20,448","$36,576",$790
Asia,Women's Dress,Seoul,7,"$78,234","$140,628","$1,891"
Asia,Sport Shoe,Tokyo,1,"$1,155","$15,602",$22
Canada,Boot,Calgary,8,"$17,720","$63,280",$472
Canada,Men's Dress,Calgary,1,"$12,775","$39,663",$353
Canada,Sandal,Calgary,7,"$2,886","$15,838",$147
Canada,Slipper,Calgary,2,"$5,676","$48,061",$253
Canada,Sport Shoe,Calgary,9,"$9,745","$38,059",$264
Canada,Women's Dress,Calgary,2,"$12,601","$54,677",$488
Canada,Boot,Montreal,25,"$40,213","$240,132","$1,472"
Canada,Men's Casual,Montreal,3,"$53,929","$187,155","$2,241"
Canada,Men's Dress,Montreal,11,"$112,009","$355,170","$3,713"
Canada,Sandal,Montreal,7,"$3,002","$18,382",$122
Canada,Slipper,Montreal,24,"$135,305","$500,053","$3,395"
Canada,Sport Shoe,Montreal,31,"$29,435","$178,128","$1,129"
Canada,Women's Casual,Montreal,2,"$24,497","$34,808",$832
Canada,Women's Dress,Montreal,12,"$132,638","$483,637","$2,880"
Canada,Boot,Ottawa,5,"$7,892","$28,162",$377
Canada,Men's Casual,Ottawa,1,"$19,210","$29,249",$578
Canada,Sandal,Ottawa,2,"$2,600","$1,727",$27
Canada,Slipper,Ottawa,10,"$30,905","$89,576","$1,397"
Canada,Sport Shoe,Ottawa,6,"$2,598","$15,007",$204
Canada,Women's Casual,Ottawa,1,"$18,712","$46,064",$427
Canada,Women's Dress,Ottawa,4,"$33,824","$84,378",$939
Canada,Boot,Toronto,16,"$33,291","$149,118",$994
Canada,Men's Casual,Toronto,2,"$15,403","$20,811","$1,401"
Canada,Men's Dress,Toronto,2,"$37,519","$84,690",$806
Canada,Sandal,Toronto,2,"$1,190","$6,763",$38
Canada,Slipper,Toronto,14,"$80,352","$302,074","$1,908"
Canada,Sport Shoe,Toronto,29,"$34,585","$164,113",$913
Canada,Women's Casual,Toronto,4,"$63,492","$149,239","$1,700"
Canada,Women's Dress,Toronto,7,"$53,940","$165,711","$1,967"
Canada,Boot,Vancouver,31,"$286,497","$882,080","$9,160"
Canada,Men's Casual,Vancouver,25,"$353,361","$671,837","$20,470"
Canada,Men's Dress,Vancouver,28,"$757,798","$1,847,559","$16,833"
Canada,Sandal,Vancouver,15,"$5,120","$56,325",$294
Canada,Slipper,Vancouver,27,"$700,513","$2,520,085","$21,247"
Canada,Sport Shoe,Vancouver,26,"$64,026","$370,388","$2,297"
